#Session	individual	occasion	trapID	sex
1	IND104	1	30	m
1	IND006	1	37	f
1	IND062	1	27	f
1	IND103	1	58	f
1	IND088	1	45	m
1	IND006	1	86	f
1	IND047	1	90	f
1	IND107	1	82	f
1	IND046	1	123	m
1	IND106	1	104	f
1	IND108	1	114	m
1	IND048	1	153	f
1	IND045	1	187	f
1	IND105	1	195	f
1	IND109	1	205	f
1	IND059	1	198	f
1	IND110	1	210	f
1	IND084	1	230	f
1	IND049	1	242	f
1	IND086	1	264	m
1	IND020	1	271	f
1	IND057	1	287	m
1	IND055	1	294	f
1	IND017	1	277	f
1	IND083	1	338	f
1	IND087	1	338	f
1	IND060	1	357	f
1	IND054	1	372	f
1	IND116	1	374	m
1	IND043	1	378	f
1	IND020	1	377	f
1	IND044	1	380	m
1	IND032	1	385	m
1	IND061	1	395	m
1	IND111	1	455	f
1	IND115	1	452	f
1	IND056	1	474	m
1	IND031	1	459	f
1	IND112	1	492	f
1	IND033	1	463	f
1	IND053	1	514	f
1	IND042	1	521	m
1	IND114	1	556	f
1	IND034	1	528	m
1	IND030	1	526	f
1	IND085	1	556	f
1	IND085	1	588	f
1	IND014	1	590	m
1	IND113	1	592	m
1	IND014	1	621	m
1	IND014	1	585	m
1	IND040	1	730	m
1	IND035	1	703	f
1	IND041	1	759	f
1	IND052	1	749	f
1	IND082	1	770	m
1	IND029	1	762	f
1	IND036	1	794	m
1	IND051	1	822	f
1	IND028	1	812	m
1	IND037	1	836	m
1	IND027	1	844	f
1	IND038	1	888	f
1	IND050	1	894	m
1	IND080	1	890	f
1	IND026	1	883	m
1	IND081	1	915	m
1	IND025	1	912	f
1	IND089	1	918	f
1	IND039	1	926	m
1	IND024	1	922	m
1	IND023	1	923	f
