#Session	individual	occasion	trapID
1	1	1	9
1	2	1	18
1	3	1	19
1	4	1	23
1	5	1	24
1	6	1	33
1	7	1	39
1	8	1	40
1	9	1	41
1	10	1	44
1	11	1	45
1	12	1	46
1	13	1	53
1	14	1	75
1	15	1	75
1	16	1	78
1	17	1	80
1	18	1	83
1	19	1	87
1	20	1	90
1	21	1	90
1	22	1	94
1	23	1	95
1	24	1	96
1	25	1	109
1	26	1	111
1	27	1	117
1	28	1	119
1	29	1	123
1	30	1	126
1	31	1	134
1	32	1	135
1	33	1	137
1	34	1	140
1	35	1	142
1	36	1	159
1	37	1	161
1	38	1	161
1	39	1	163
1	40	1	164
1	41	1	168
1	42	1	175
1	43	1	192
1	44	1	197
1	45	1	197
1	46	1	198
1	47	1	200
1	48	1	203
1	49	1	204
1	50	1	207
1	51	1	208
1	52	1	209
1	53	1	211
1	54	1	212
1	55	1	214
1	56	1	215
1	57	1	215
1	58	1	217
1	59	1	218
1	60	1	219
1	61	1	240
1	62	1	244
1	63	1	246
1	64	1	246
1	65	1	250
1	66	1	252
1	67	1	261
1	68	1	264
1	69	1	266
1	70	1	284
1	71	1	285
1	72	1	291
1	73	1	292
1	74	1	299
1	75	1	302
1	76	1	304
1	77	1	307
1	78	1	308
1	79	1	310
1	80	1	331
1	81	1	337
1	82	1	341
1	83	1	344
1	84	1	348
1	85	1	351
1	86	1	351
1	87	1	352
1	88	1	356
1	89	1	357
1	90	1	361
1	91	1	369
1	92	1	371
1	93	1	376
1	94	1	377
1	95	1	378
1	96	1	382
1	97	1	385
1	98	1	387
1	99	1	402
1	100	1	407
1	101	1	408
1	102	1	411
1	103	1	413
1	104	1	423
1	105	1	434
1	106	1	437
1	107	1	439
1	108	1	440
1	109	1	445
1	110	1	461
1	111	1	462
1	112	1	462
1	113	1	465
