#Session	individual	occasion	trap
1	1	1	9
1	2	1	45
1	3	1	48
1	4	1	49
1	5	1	57
1	6	1	60
1	7	1	63
1	8	1	65
1	9	1	67
1	10	1	70
1	11	1	83
1	12	1	89
1	13	1	94
1	14	1	96
1	15	1	101
1	16	1	105
1	17	1	115
1	18	1	118
1	19	1	119
1	20	1	132
1	21	1	136
1	22	1	150
1	23	1	172
1	24	1	177
1	25	1	181
1	26	1	185
1	27	1	186
1	28	1	188
1	29	1	191
1	30	1	192
1	31	1	194
1	32	1	209
1	33	1	209
1	34	1	212
1	35	1	216
1	36	1	219
1	37	1	246
1	38	1	252
1	39	1	283
1	40	1	290
1	41	1	291
1	42	1	304
1	43	1	307
1	44	1	315
1	45	1	337
1	46	1	339
1	47	1	342
1	48	1	352
1	49	1	369
1	50	1	379
1	51	1	382
1	52	1	388
1	53	1	400
1	54	1	413
1	55	1	419
1	56	1	421
1	57	1	422
1	58	1	427
1	59	1	437
1	60	1	457
1	61	1	483
1	62	1	487
1	63	1	490
1	64	1	524
1	65	1	559
1	66	1	594
1	67	1	598
1	68	1	601
1	69	1	618
1	70	1	635
1	71	1	666
1	72	1	668
1	73	1	672
1	74	1	676
1	75	1	684
1	76	1	692
1	77	1	724
1	78	1	732
1	79	1	736
1	80	1	737
1	81	1	757
1	82	1	764
1	83	1	767
1	84	1	775
1	85	1	784
1	86	1	787
1	87	1	790
1	88	1	818
1	89	1	830
1	90	1	831
1	91	1	846
1	92	1	852
1	93	1	856
1	94	1	886
1	95	1	901
1	96	1	904
